,AUC Article Title,Titles,Journals,doi,Cross Ref Links,links,CiteScore,Open Access,ISSN,resurchify Links,Impact factor,H-Index
10,Polymer Nanotube Composites: Promises and Current Challenges,Carbon nanotube polymer composites,Current Opinion in Solid State and Materials Science,10.1016/j.cossms.2003.10.006,https://api.crossref.org/works/10.1016/j.cossms.2003.10.006.xml,https://journalsearches.com/journal.php?title=Current Opinion in Solid State and Materials Science,17.9, NO,13590286,https://www.resurchify.com/find/?query=13590286,11.69,118
11,Polymer Nanotube Composites: Promises and Current Challenges,Improvement of Thermal and Mechanical Properties of Carbon Nanotube Composites through Chemical Functionalization,Chemistry of Materials,10.1021/cm034243c,https://api.crossref.org/works/10.1021/cm034243c.xml,https://journalsearches.com/journal.php?title=Chemistry of Materials,16.9, NO,08974756,https://www.resurchify.com/find/?query=08974756,9.38,393
12,Polymer Nanotube Composites: Promises and Current Challenges,Fabrication and characterization of polycarbonate/carbon nanotubes composites,Composites Part A: Applied Science and Manufacturing,10.1016/j.compositesa.2005.08.009,https://api.crossref.org/works/10.1016/j.compositesa.2005.08.009.xml,https://journalsearches.com/journal.php?title=Composites Part A: Applied Science and Manufacturing,,,1359835X,https://www.resurchify.com/find/?query=1359835X,8.90,193
13,Polymer Nanotube Composites: Promises and Current Challenges,Effect of chemical functionalization on the mechanical properties of carbon nanotubes,Chemical Physics Letters,10.1016/S0009-2614(98)00969-5,https://api.crossref.org/works/10.1016/S0009-2614(98)00969-5.xml,https://journalsearches.com/journal.php?title=Chemical Physics Letters,3.7, NO,00092614,https://www.resurchify.com/find/?query=00092614,,
14,Polymer Nanotube Composites: Promises and Current Challenges,Aligned CNT/Polymer nanocomposite membranes for hydrogen separation,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2009.02.068,https://api.crossref.org/works/10.1016/j.ijhydene.2009.02.068.xml,https://journalsearches.com/journal.php?title=International Journal of Hydrogen Energy,9, NO,03603199,https://www.resurchify.com/find/?query=03603199,,
15,Polymer Nanotube Composites: Promises and Current Challenges,Aligned multi-walled carbon nanotube-reinforced composites: processing and mechanical characterization,Journal of Physics D: Applied Physics,10.1088/0022-3727/35/16/103,https://api.crossref.org/works/10.1088/0022-3727/35/16/103.xml,https://journalsearches.com/journal.php?title=Journal of Physics D: Applied Physics,,,00223727,https://www.resurchify.com/find/?query=00223727,3.33,207
16,Polymer Nanotube Composites: Promises and Current Challenges,Toughness enhancements in poly(methyl methacrylate) by addition of oriented multiwall carbon nanotubes,Journal of Polymer Science Part B: Polymer Physics,10.1002/polb.20126,https://api.crossref.org/works/10.1002/polb.20126.xml,https://journalsearches.com/journal.php?title=Journal of Polymer Science Part B: Polymer Physics,,,,https://www.resurchify.com/find/?query=,,
17,Polymer Nanotube Composites: Promises and Current Challenges,Polypropylene fibers reinforced with carbon nanotubes,Journal of Applied Polymer Science,10.1002/app.11160,https://api.crossref.org/works/10.1002/app.11160.xml,https://journalsearches.com/journal.php?title=Journal of Applied Polymer Science,4.7, NO,00218995,https://www.resurchify.com/find/?query=00218995,3.21,175
18,Polymer Nanotube Composites: Promises and Current Challenges,A comparative study of melt spun polyamide-12 fibres reinforced with carbon nanotubes and nanofibres,Polymer,10.1016/j.polymer.2004.01.023,https://api.crossref.org/works/10.1016/j.polymer.2004.01.023.xml,https://journalsearches.com/journal.php?title=Polymer,7.2, NO,00323861,https://www.resurchify.com/find/?query=00323861,,
19,Polymer Nanotube Composites: Promises and Current Challenges,Study on poly(methyl methacrylate)/carbon nanotube composites,Materials Science and Engineering: A,10.1016/S0921-5093(99)00263-4,https://api.crossref.org/works/10.1016/S0921-5093(99)00263-4.xml,https://journalsearches.com/journal.php?title=Materials Science and Engineering: A,,,,https://www.resurchify.com/find/?query=,,
20,Polymer Nanotube Composites: Promises and Current Challenges,A carbon nanotube strain sensor for structural health monitoring,Smart Materials and Structures,10.1088/0964-1726/15/3/009,https://api.crossref.org/works/10.1088/0964-1726/15/3/009.xml,https://journalsearches.com/journal.php?title=Smart Materials and Structures,6.1, NO,09641726,https://www.resurchify.com/find/?query=09641726,3.87,161
21,Polymer Nanotube Composites: Promises and Current Challenges,Electrical and mechanical properties of nanocomposites of single wall carbon nanotubes with PMMA,Synthetic Metals,10.1016/j.synthmet.2005.07.291,https://api.crossref.org/works/10.1016/j.synthmet.2005.07.291.xml,https://journalsearches.com/journal.php?title=Synthetic Metals,5.2, NO,03796779,https://www.resurchify.com/find/?query=03796779,,
22,Polymer Nanotube Composites: Promises and Current Challenges,Nanomechanical characterization of single-walled carbon nanotube reinforced epoxy composites,Nanotechnology,10.1088/0957-4484/15/11/005,https://api.crossref.org/works/10.1088/0957-4484/15/11/005.xml,https://journalsearches.com/journal.php?title=Nanotechnology,5.8, NO,09574484,https://www.resurchify.com/find/?query=09574484,3.66,211
23,Effect of holding time before solidification on double-oxide film defects and mechanical properties of aluminium alloys,Entrainment defects,Materials Science and Technology,10.1179/174328406X74248,https://api.crossref.org/works/10.1179/174328406X74248.xml,https://journalsearches.com/journal.php?title=Materials Science and Technology,3.7, NO,02670836,https://www.resurchify.com/find/?query=02670836,1.85,95
24,Effect of holding time before solidification on double-oxide film defects and mechanical properties of aluminium alloys,"Hydrogen, porosity and oxide film defects in liquid Al",Journal of Materials Science,10.1007/s10853-009-3450-7,https://api.crossref.org/works/10.1007/s10853-009-3450-7.xml,https://journalsearches.com/journal.php?title=Journal of Materials Science,6.7, NO,00222461,https://www.resurchify.com/find/?query=00222461,4.50,187
25,Effect of holding time before solidification on double-oxide film defects and mechanical properties of aluminium alloys,Influence of casting technique and hot isostatic pressing on the fatigue of an Al-7Si-Mg alloy,Metallurgical and Materials Transactions A,10.1007/s11661-001-0266-8,https://api.crossref.org/works/10.1007/s11661-001-0266-8.xml,https://journalsearches.com/journal.php?title=Metallurgical and Materials Transactions A,,,,https://www.resurchify.com/find/?query=,,
26,Effect of holding time before solidification on double-oxide film defects and mechanical properties of aluminium alloys,The behaviour of double oxide film defects in liquid Al alloys under atmospheric and reduced pressures,Journal of Alloys and Compounds,10.1016/j.jallcom.2009.10.271,https://api.crossref.org/works/10.1016/j.jallcom.2009.10.271.xml,https://journalsearches.com/journal.php?title=Journal of Alloys and Compounds,8.9, NO,09258388,https://www.resurchify.com/find/?query=09258388,,
27,Effect of holding time before solidification on double-oxide film defects and mechanical properties of aluminium alloys,Analysis of the effects of alloying elements on hydrogen solubility in liquid aluminum alloys,Scripta Metallurgica et Materialia,10.1016/0956-716X(95)00373-4,https://api.crossref.org/works/10.1016/0956-716X(95)00373-4.xml,https://journalsearches.com/journal.php?title=Scripta Metallurgica et Materialia,,,0956716X,https://www.resurchify.com/find/?query=0956716X,,
28,Processing challenges of dual-matrix carbon nanotube aluminum composites,Effect of Fabrication Techniques on the Properties of Carbon Nanotubes Reinforced Magnesium,Solid State Phenomena,10.4028/www.scientific.net/SSP.111.179,https://api.crossref.org/works/10.4028/www.scientific.net/SSP.111.179.xml,https://journalsearches.com/journal.php?title=Solid State Phenomena,1.1, NO,16629779,https://www.resurchify.com/find/?query=16629779,0.53,40
29,Processing challenges of dual-matrix carbon nanotube aluminum composites,Strengthening in carbon nanotube/aluminium (CNT/Al) composites,Scripta Materialia,10.1016/j.scriptamat.2005.07.022,https://api.crossref.org/works/10.1016/j.scriptamat.2005.07.022.xml,https://journalsearches.com/journal.php?title=Scripta Materialia,9.4, NO,13596462,https://www.resurchify.com/find/?query=13596462,5.78,205
30,Processing challenges of dual-matrix carbon nanotube aluminum composites,Characterization and Spark Plasma Sintering of Mechanically Milled Aluminum-Carbon Nanotube (CNT) Composite Powders,Journal of Composite Materials,10.1177/0021998310361990,https://api.crossref.org/works/10.1177/0021998310361990.xml,https://journalsearches.com/journal.php?title=Journal of Composite Materials,4.1, NO,00219983,https://www.resurchify.com/find/?query=00219983,3.21,97
31,Processing challenges of dual-matrix carbon nanotube aluminum composites,Carbon nanotube reinforced aluminum composite coating via cold spraying,Surface and Coatings Technology,10.1016/j.surfcoat.2008.05.042,https://api.crossref.org/works/10.1016/j.surfcoat.2008.05.042.xml,https://journalsearches.com/journal.php?title=Surface and Coatings Technology,6.6, NO,02578972,https://www.resurchify.com/find/?query=02578972,,
32,Processing challenges of dual-matrix carbon nanotube aluminum composites,Microstructurally toughened particulate-reinforced aluminum matrix composites,Metallurgical Transactions A,10.1007/BF03350959,https://api.crossref.org/works/10.1007/BF03350959.xml,https://journalsearches.com/journal.php?title=Metallurgical Transactions A,,,03602133,https://www.resurchify.com/find/?query=03602133,,
33,Processing challenges of dual-matrix carbon nanotube aluminum composites,Microstructure and wear resistance of laser-melted TiC reinforced nickel aluminide dual-phase matrix in situ composite,Intermetallics,10.1016/j.intermet.2005.06.011,https://api.crossref.org/works/10.1016/j.intermet.2005.06.011.xml,https://journalsearches.com/journal.php?title=Intermetallics,6.1, NO,09669795,https://www.resurchify.com/find/?query=09669795,,
34,Processing challenges of dual-matrix carbon nanotube aluminum composites,unknown,Journal of Materials Science Letters,10.1023/A:1015733005094,https://api.crossref.org/works/10.1023/A:1015733005094.xml,https://journalsearches.com/journal.php?title=Journal of Materials Science Letters,,,02618028,https://www.resurchify.com/find/?query=02618028,,
35,Mechatronics Educational System Using Multiple Mobile Robots with Behavior-Based Control Approach,A robust layered control system for a mobile robot,IEEE Journal on Robotics and Automation,10.1109/JRA.1986.1087032,https://api.crossref.org/works/10.1109/JRA.1986.1087032.xml,https://journalsearches.com/journal.php?title=IEEE Journal on Robotics and Automation,,,,https://www.resurchify.com/find/?query=,,
36,Mechatronics Educational System Using Multiple Mobile Robots with Behavior-Based Control Approach,Cooperative swarm control for multiple mobile robots using only information from PSD sensors,Artificial Life and Robotics,10.1007/s10015-011-0901-4,https://api.crossref.org/works/10.1007/s10015-011-0901-4.xml,https://journalsearches.com/journal.php?title=Artificial Life and Robotics,1.5, NO,14335298,https://www.resurchify.com/find/?query=14335298,0.84,21
37,Mechatronics Educational System Using Multiple Mobile Robots with Behavior-Based Control Approach,Autonomous Control for an Omnidirectional Mobile Robot with the Orthogonal-Wheel Assembly.,Journal of the Robotics Society of Japan,10.7210/jrsj.17.51,https://api.crossref.org/works/10.7210/jrsj.17.51.xml,https://journalsearches.com/journal.php?title=Journal of the Robotics Society of Japan,,,,https://www.resurchify.com/find/?query=,,
38,Mechatronics Educational System Using Multiple Mobile Robots with Behavior-Based Control Approach,unknown,Journal of Intelligent and Robotic Systems,10.1023/A:1008048307352,https://api.crossref.org/works/10.1023/A:1008048307352.xml,https://journalsearches.com/journal.php?title=Journal of Intelligent and Robotic Systems,,,,https://www.resurchify.com/find/?query=,,
39,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,"Information Fusion – what, where, why, when, and how?",Information Fusion,10.1016/S1566-2535(01)00032-X,https://api.crossref.org/works/10.1016/S1566-2535(01)00032-X.xml,https://journalsearches.com/journal.php?title=Information Fusion,24.9, NO,15662535,https://www.resurchify.com/find/?query=15662535,18.92,120
40,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,The Roots of Technology and Science: A Philosophical and Historical View,International Journal of Technology and Design Education,10.1023/A:1008892400827,https://api.crossref.org/works/10.1023/A:1008892400827.xml,https://journalsearches.com/journal.php?title=International Journal of Technology and Design Education,3.6, NO,09577572,https://www.resurchify.com/find/?query=09577572,2.73,46
41,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,Mechatronics - A unifying interdisciplinary and intelligent engineering science paradigm,IEEE Industrial Electronics Magazine,10.1109/MIE.2007.901480,https://api.crossref.org/works/10.1109/MIE.2007.901480.xml,https://journalsearches.com/journal.php?title=IEEE Industrial Electronics Magazine,14.9, NO,19324529,https://www.resurchify.com/find/?query=19324529,5.01,75
42,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,"Interdisciplinary Mechatronics engineering and science: problem-solving, creative-thinking and concurrent design synergy",International Journal of Mechatronics and Manufacturing Systems,10.1504/IJMMS.2008.018272,https://api.crossref.org/works/10.1504/IJMMS.2008.018272.xml,https://journalsearches.com/journal.php?title=International Journal of Mechatronics and Manufacturing Systems,0.8, NO,17531039,https://www.resurchify.com/find/?query=17531039,1.26,16
43,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,Mechatronics design for product enhancement,IEEE/ASME Transactions on Mechatronics,10.1109/3516.506147,https://api.crossref.org/works/10.1109/3516.506147.xml,https://journalsearches.com/journal.php?title=IEEE/ASME Transactions on Mechatronics,11.3, NO,10834435,https://www.resurchify.com/find/?query=10834435,5.69,141
44,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,Building Agility for Developing Agile Design Information Systems,Research in Engineering Design,10.1007/PL00003884,https://api.crossref.org/works/10.1007/PL00003884.xml,https://journalsearches.com/journal.php?title=Research in Engineering Design,"Engineering, Multidisciplinary | Engineering, Industrial | Engineering, Manufacturing",English,,https://www.resurchify.com/find/?query=,,
45,Interdisciplinary Mechatronics Engineering Science and the Evolution of Human Friendly and Adaptive Mechatronics,unknown,Journal of Science Education and Technology,10.1023/A:1022534310151,https://api.crossref.org/works/10.1023/A:1022534310151.xml,https://journalsearches.com/journal.php?title=Journal of Science Education and Technology,4.3, NO,10590145,https://www.resurchify.com/find/?query=10590145,4.02,66
46,Mechatronics systems based on cad/cam1,The fallacy of modern hybrid control theory that is based on “orthogonal complements” of twist and wrench spaces,Journal of Robotic Systems,10.1002/rob.4620070202,https://api.crossref.org/works/10.1002/rob.4620070202.xml,https://journalsearches.com/journal.php?title=Journal of Robotic Systems,,,07412223,https://www.resurchify.com/find/?query=07412223,,
47,Mechatronics systems based on cad/cam1,Intelligent machining system for the artistic design of wooden paint rollers,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2008.05.001,https://api.crossref.org/works/10.1016/j.rcim.2008.05.001.xml,https://journalsearches.com/journal.php?title=Robotics and Computer-Integrated Manufacturing,12.5, NO,07365845,https://www.resurchify.com/find/?query=07365845,,
48,Mechatronics systems based on cad/cam1,Development of Post-processor Module of 5-Axis Control NC Machine Tool with Tilting-Head for Woody Furniture.,Journal of the Japan Society for Precision Engineering,10.2493/jjspe.62.1203,https://api.crossref.org/works/10.2493/jjspe.62.1203.xml,https://journalsearches.com/journal.php?title=Journal of the Japan Society for Precision Engineering,0.2, NO,,https://www.resurchify.com/find/?query=,,
49,Mechanical and tribological properties of AA2124-graphene self lubricating nanocomposite,Electric Field Effect in Atomically Thin Carbon Films,Science,10.1126/science.1102896,https://api.crossref.org/works/10.1126/science.1102896.xml,https://journalsearches.com/journal.php?title=Science,46.8, YES,00368075,https://www.resurchify.com/find/?query=00368075,15.19,1229
50,Mechanical and tribological properties of AA2124-graphene self lubricating nanocomposite,"Graphene and graphite nanoribbons: Morphology, properties, synthesis, defects and applications",Nano Today,10.1016/j.nantod.2010.06.010,https://api.crossref.org/works/10.1016/j.nantod.2010.06.010.xml,https://journalsearches.com/journal.php?title=Nano Today,20.9, NO,17480132,https://www.resurchify.com/find/?query=17480132,17.26,155
51,Mechanical and tribological properties of AA2124-graphene self lubricating nanocomposite,Graphene-based quantum electronics,Progress in Quantum Electronics,10.1016/j.pquantelec.2009.08.001,https://api.crossref.org/works/10.1016/j.pquantelec.2009.08.001.xml,https://journalsearches.com/journal.php?title=Progress in Quantum Electronics,15.4, NO,00796727,https://www.resurchify.com/find/?query=00796727,,
52,Mechanical and tribological properties of AA2124-graphene self lubricating nanocomposite,Bulk Behavior of Ball Milled AA2124 Nanostructured Powders Reinforced with TiC,Journal of Nanomaterials,10.1155/2009/479185,https://api.crossref.org/works/10.1155/2009/479185.xml,https://journalsearches.com/journal.php?title=Journal of Nanomaterials,3.8, YES,16874110,https://www.resurchify.com/find/?query=16874110,3.37,77
53,Mechanical and tribological properties of AA2124-graphene self lubricating nanocomposite,"Tribological behavior of graphite-containing nickel-based composite as function of temperature, load and counterface",Wear,10.1016/j.wear.2008.06.020,https://api.crossref.org/works/10.1016/j.wear.2008.06.020.xml,https://journalsearches.com/journal.php?title=Wear,7.2, NO,00431648,https://www.resurchify.com/find/?query=00431648,,
54,Mechanical and tribological properties of AA2124-graphene self lubricating nanocomposite,Influence of Cr content on tribological properties of Ni3Al matrix high temperature self-lubricating composites,Tribology International,10.1016/j.triboint.2011.05.014,https://api.crossref.org/works/10.1016/j.triboint.2011.05.014.xml,https://journalsearches.com/journal.php?title=Tribology International,8, NO,0301679X,https://www.resurchify.com/find/?query=0301679X,5.60,129
55,Influence of spark plasma sintering on the mechanical behavior of micro and nano AA2124 powders,"The Effect of Hot Isostatic Pressing on Crack Initiation, Fatigue, and Mechanical Properties of Two Cast Aluminum Alloys",Journal of Materials Engineering and Performance,10.1361/105994999770346864,https://api.crossref.org/works/10.1361/105994999770346864.xml,https://journalsearches.com/journal.php?title=Journal of Materials Engineering and Performance,2.8, NO,10599495,https://www.resurchify.com/find/?query=10599495,1.97,72
56,Influence of spark plasma sintering on the mechanical behavior of micro and nano AA2124 powders,Thermal Stability of Vacuum Hot Pressed Bulk Nanostructured Al-Cu Alloys,Materials Science Forum,10.4028/www.scientific.net/MSF.690.234,https://api.crossref.org/works/10.4028/www.scientific.net/MSF.690.234.xml,https://journalsearches.com/journal.php?title=Materials Science Forum,0.8, NO,02555476,https://www.resurchify.com/find/?query=02555476,0.48,81
57,Influence of spark plasma sintering on the mechanical behavior of micro and nano AA2124 powders,Chemically produced nanostructured ODS–lanthanum oxide–tungsten composites sintered by spark plasma,Journal of Nuclear Materials,10.1016/j.jnucmat.2010.10.060,https://api.crossref.org/works/10.1016/j.jnucmat.2010.10.060.xml,https://journalsearches.com/journal.php?title=Journal of Nuclear Materials,5, NO,00223115,https://www.resurchify.com/find/?query=00223115,,
58,Influence of spark plasma sintering on the mechanical behavior of micro and nano AA2124 powders,Effect of spark plasma sintering temperature on microstructure and mechanical properties of melt-spun TiAl alloys,Transactions of Nonferrous Metals Society of China,10.1016/S1003-6326(11)61209-0,https://api.crossref.org/works/10.1016/S1003-6326(11)61209-0.xml,https://journalsearches.com/journal.php?title=Transactions of Nonferrous Metals Society of China,4.9, NO,,https://www.resurchify.com/find/?query=,,
59,Polymer Nanotube Composites: Latest Challenges and Applications,Mechanical properties and interfacial characteristics of carbon-nanotube-reinforced epoxy thin films,Applied Physics Letters,10.1063/1.1511532,https://api.crossref.org/works/10.1063/1.1511532.xml,https://journalsearches.com/journal.php?title=Applied Physics Letters,6.9, NO,00036951,https://www.resurchify.com/find/?query=00036951,3.81,452
60,Polymer Nanotube Composites: Latest Challenges and Applications,Wind Turbine Blade Design,Energies,10.3390/en5093425,https://api.crossref.org/works/10.3390/en5093425.xml,https://journalsearches.com/journal.php?title=Energies,4.7, YES,19961073,https://www.resurchify.com/find/?query=19961073,3.54,111
61,Polymer Nanotube Composites: Latest Challenges and Applications,Perspectives of carbon nanotubes/polymer nanocomposites for wind blade materials,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2013.11.008,https://api.crossref.org/works/10.1016/j.rser.2013.11.008.xml,https://journalsearches.com/journal.php?title=Renewable and Sustainable Energy Reviews,30.5, NO,13640321,https://www.resurchify.com/find/?query=13640321,16.95,337
62,Polymer Nanotube Composites: Latest Challenges and Applications,Ultrahigh Strength and Stiffness in Cross-Linked Hierarchical Carbon Nanotube Bundles,Advanced Materials,10.1002/adma.201100547,https://api.crossref.org/works/10.1002/adma.201100547.xml,https://journalsearches.com/journal.php?title=Advanced Materials,45.6, NO,09359648,https://www.resurchify.com/find/?query=09359648,28.12,563
63,Polymer Nanotube Composites: Latest Challenges and Applications,Spinning continuous carbon nanotube yarns,Nature,10.1038/419801a,https://api.crossref.org/works/10.1038/419801a.xml,https://journalsearches.com/journal.php?title=Nature,56.9, NO,00280836,https://www.resurchify.com/find/?query=00280836,21.05,1276
64,Polymer Nanotube Composites: Latest Challenges and Applications,"Multifunctional carbon nanotube yarns and transparent sheets: Fabrication, properties, and applications",Physica B: Condensed Matter,10.1016/j.physb.2006.12.061,https://api.crossref.org/works/10.1016/j.physb.2006.12.061.xml,https://journalsearches.com/journal.php?title=Physica B: Condensed Matter,4, NO,09214526,https://www.resurchify.com/find/?query=09214526,,
65,Investigation of the Structural Stability of Nanostructured Al-5.7wt.%-Ni Mechanically Alloyed Eutectic Alloy Powders,Fabrication of near net-shaped Al-based intermetallics matrix composites,Journal of Materials Processing Technology,10.1016/S0924-0136(01)00580-5,https://api.crossref.org/works/10.1016/S0924-0136(01)00580-5.xml,https://journalsearches.com/journal.php?title=Journal of Materials Processing Technology,10.2, NO,09240136,https://www.resurchify.com/find/?query=09240136,6.13,201
66,Investigation of the Structural Stability of Nanostructured Al-5.7wt.%-Ni Mechanically Alloyed Eutectic Alloy Powders,"
                    Mechanical properties of Ni
                    3
                    AI and nickel-base alloys with high volume fraction of γ'
                  ",International Materials Reviews,10.1179/imr.1984.29.1.136,https://api.crossref.org/works/10.1179/imr.1984.29.1.136.xml,https://journalsearches.com/journal.php?title=International Materials Reviews,30.3, NO,09506608,https://www.resurchify.com/find/?query=09506608,18.18,119
67,Investigation of the Structural Stability of Nanostructured Al-5.7wt.%-Ni Mechanically Alloyed Eutectic Alloy Powders,Effect of milling energy on the structural evolution and stability of nanostructured Al-5.7wt.% Ni mechanically alloyed eutectic alloy,Powder Technology,10.1016/j.powtec.2012.02.011,https://api.crossref.org/works/10.1016/j.powtec.2012.02.011.xml,https://journalsearches.com/journal.php?title=Powder Technology,7.7, NO,00325910,https://www.resurchify.com/find/?query=00325910,5.53,148
68,Investigation of the Structural Stability of Nanostructured Al-5.7wt.%-Ni Mechanically Alloyed Eutectic Alloy Powders,Differential scanning calorimetry as a general method for determining the purity and heat of fusion of high-purity organic chemicals.  Application to 95 compounds,Analytical Chemistry,10.1021/ac60271a041,https://api.crossref.org/works/10.1021/ac60271a041.xml,https://journalsearches.com/journal.php?title=Analytical Chemistry,11, NO,00032700,https://www.resurchify.com/find/?query=00032700,7.42,343
69,Counseling and Psychotherapy in Egypt: Omar's Story,COMMUNITY PSYCHOLOGY AND CIVIL SOCIETY: OPPORTUNITIES FOR GROWTH IN EGYPT AND LEBANON,Journal of Community Psychology,10.1002/jcop.21688,https://api.crossref.org/works/10.1002/jcop.21688.xml,https://journalsearches.com/journal.php?title=Journal of Community Psychology,1.9, NO,00904392,https://www.resurchify.com/find/?query=00904392,2.40,90
70,Counseling and Psychotherapy in Egypt: Omar's Story,Focus on psychiatry in Egypt,British Journal of Psychiatry,10.1192/bjp.185.3.266,https://api.crossref.org/works/10.1192/bjp.185.3.266.xml,https://journalsearches.com/journal.php?title=British Journal of Psychiatry,10.5, NO,00071250,https://www.resurchify.com/find/?query=00071250,4.33,239
71,Design and manufacture of biodegradable products from renewable resources,Biodegradable Multiphase Systems Based on Plasticized Starch: A Review,"Journal of Macromolecular Science, Part C: Polymer Reviews",10.1081/MC-200029326,https://api.crossref.org/works/10.1081/MC-200029326.xml,"https://journalsearches.com/journal.php?title=Journal of Macromolecular Science, Part C: Polymer Reviews",,,,https://www.resurchify.com/find/?query=,,
72,Design and manufacture of biodegradable products from renewable resources,Influence of processing methods on starch properties,"Journal of Macromolecular Science, Part B",10.1080/00222349908212444,https://api.crossref.org/works/10.1080/00222349908212444.xml,"https://journalsearches.com/journal.php?title=Journal of Macromolecular Science, Part B",,,,https://www.resurchify.com/find/?query=,,
73,Design and manufacture of biodegradable products from renewable resources,Behavior of biocomposite materials from flax strands and starch-based biopolymer,Chemical Engineering Science,10.1016/j.ces.2009.02.006,https://api.crossref.org/works/10.1016/j.ces.2009.02.006.xml,https://journalsearches.com/journal.php?title=Chemical Engineering Science,7.3, NO,00092509,https://www.resurchify.com/find/?query=00092509,,
74,Design and manufacture of biodegradable products from renewable resources,Life cycle energy impacts of automotive liftgate inner,"Resources, Conservation and Recycling",10.1016/j.resconrec.2004.07.003,https://api.crossref.org/works/10.1016/j.resconrec.2004.07.003.xml,"https://journalsearches.com/journal.php?title=Resources, Conservation and Recycling",14.7, NO,09213449,https://www.resurchify.com/find/?query=09213449,12.68,150
